County Name,Census Tract ID,Count,Population,"Age Adjusted Rate per 100,000",Lower CI,Upper CI
Clark,53011040508,156,35167,378.87,319.46,447.85
Clark,53011040509,77,15290,421.17,329.81,535.53
Clark,53011040510,168,29618,432.7,364.14,514.64
Clark,53011040511,45,12074,324.36,222.48,472.21
Clark,53011040603,125,24934,419.21,341.03,516.63
Clark,53011040604,121,29965,433.2,354.56,527.64
Clark,53011040605,131,28793,415.92,345.81,499.13
Clark,53011040608,89,23248,337.55,263.72,435.42
Clark,53011040609,72,24764,331.66,243.81,456.71
Clark,53011040610,84,18514,434.92,335.45,571.7
Clark,53011040703,163,33601,491.07,413.87,580.54
Clark,53011040706,64,19472,382.03,289.54,505.13
Clark,53011040707,69,16481,395.28,303.8,514.34
Clark,53011040709,107,23431,487.08,393.23,602.47
Clark,53011040710,189,42882,336.15,286.73,394.06
Clark,53011040711,53,15599,439.39,315.27,613.88
Clark,53011040712,128,30398,515.85,424.8,624.79
Clark,53011040803,152,26488,469.97,393.84,558.82
Clark,53011040805,196,36674,395.57,338.27,462.5
Clark,53011040806,113,24284,443.19,360.04,542.3
Clark,53011040808,43,8516,378.85,271.69,529.18
Clark,53011040809,113,32846,453.64,367.35,558.69
Clark,53011040810,76,15696,460.22,358.26,586.95
Clark,53011040904,175,30292,490.25,416.07,575.53
Clark,53011040905,112,17165,452.39,363.09,570.71
Clark,53011040907,170,31993,464.3,389.8,555.11
Clark,53011040908,186,33595,456.24,387.56,537.19
Clark,53011040909,191,25812,485.6,413.57,572.69
Clark,53011040910,90,21801,417.54,333.99,521.45
Clark,53011041003,127,21568,383.49,315.72,466.47
Clark,53011041005,50,13250,458.3,336.95,615.82
Clark,53011041007,94,16806,404.88,321.41,508.21
Clark,53011041008,150,19021,551.14,456.36,668.91
Clark,53011041009,121,18583,409.48,332.41,505.63
Clark,53011041010,118,19202,455.78,372.7,558.38
Clark,53011041011,81,17098,352.09,275.17,451.04
Clark,53011041104,76,19322,460.99,357.05,593.03
Clark,53011041105,160,29815,463.95,393.09,545.48
Clark,53011041107,79,14086,436.41,341.69,554.1
Clark,53011041108,191,34974,342.93,286.25,411.82
Clark,53011041110,131,32422,377.71,313.36,453.34
Clark,53011041111,47,17122,451.83,314.8,675.08
Clark,53011041112,123,29131,380.78,315,458.44
Clark,53011041201,157,33478,365.75,308,433.87
Clark,53011041203,107,26092,359.34,292.52,439.42
Clark,53011041205,103,25631,330.1,264.82,410.72
Clark,53011041206,117,29954,326.23,266.87,397.42
Clark,53011041309,128,24627,369.26,305.51,447.1
Clark,53011041310,216,24905,328.29,273.65,401.18
Clark,53011041312,118,23097,423.06,347.99,513.55
Clark,53011041313,37,14281,381.94,262.27,549.7
Clark,53011041317,111,23060,467.41,382.57,567.55
Clark,53011041318,129,27884,456.18,374.77,554.04
Clark,53011041319,156,32312,432.32,362.35,514.37
Clark,53011041320,122,31283,456.14,372.78,558.03
Clark,53011041321,83,14164,437.71,344.85,558.05
Clark,53011041322,105,22642,402.94,326.36,495.24
Clark,53011041323,120,27923,337.63,277.98,409.19
Clark,53011041325,126,28108,380.41,313.98,461.9
Clark,53011041326,50,12845,456.28,326.76,635.03
Clark,53011041327,155,44308,423.57,354.43,505.96
Clark,53011041328,117,29586,380.94,314.42,458.28
Clark,53011041329,94,24021,289.5,228.93,367.91
Clark,53011041330,80,23762,391.84,301.01,506.65
Clark,53011041331,40,13645,358.98,249.52,508.8
Clark,53011041332,84,19078,414.28,325.57,525.11
Clark,53011041333,58,16950,336.52,249.04,452.7
Clark,53011041400,130,27912,412.49,342.87,493.68
Clark,53011041500,61,13859,377.87,287.6,491.49
Clark,53011041600,56,18809,289.67,217.51,382.98
Clark,53011041700,63,20416,411.32,304.24,556.92
Clark,53011041800,76,21092,348.51,272.01,445.47
Clark,53011041900,63,10485,419.84,317.05,568.68
Clark,53011042000,33,8253,344.28,233.22,505.69
Clark,53011042100,54,16246,361.89,265.03,491.7
Clark,53011042300,81,17718,332.11,261.13,423.79
Clark,53011042400,38,10511,305.2,203.23,608.24
Clark,53011042500,46,7403,553.85,395.34,785.33
Clark,53011042600,158,26993,425.23,357.65,510.13
Clark,53011042700,79,22493,292.28,228.67,372.26
Clark,53011042800,90,14483,397.79,315.24,504.48
Clark,53011042900,34,7967,291.36,190.95,450.88
Clark,53011043000,66,9028,446.19,337.16,613.86
Clark,53011043100,135,20705,372.5,307.16,455.34
Columbia,53013960200,139,20550,378.27,307.94,468.82
Cowlitz,53015000300,15,2600,347.72,178.53,800.28
Cowlitz,53015000400,136,18350,414.94,336.57,517.88
Cowlitz,53015000501,93,14282,534.62,427.7,665.25
Cowlitz,53015000502,105,24798,572.67,460.07,713.74
Cowlitz,53015000601,79,19643,318.48,247.19,411.64
Cowlitz,53015000602,104,15364,398.62,316.21,504.12
Cowlitz,53015000702,98,15723,452.61,364.23,562.02
Cowlitz,53015000703,63,8330,465.9,344.15,633.69
Cowlitz,53015000704,175,35918,391.17,332.93,458.79
Cowlitz,53015000800,241,34075,444.64,385.68,513.74
Cowlitz,53015000900,197,35849,435.92,375.34,505.37
Cowlitz,53015001000,21,6189,391.39,229.79,678.61
Cowlitz,53015001100,138,29504,424.66,355.12,505.78
Cowlitz,53015001200,137,22129,418.92,346.6,508.28
Cowlitz,53015001300,78,18332,457.39,357.8,579.91
Cowlitz,53015001501,78,16280,376.99,289.06,490.14
Cowlitz,53015001502,230,43504,450,391.21,516.32
Cowlitz,53015001600,161,34499,347.01,290.85,413.53
Cowlitz,53015001700,152,27226,406.08,338.2,488.37
Cowlitz,53015001800,41,9164,317.3,219.24,465.04
Cowlitz,53015001900,172,26487,455.96,384.72,543.23
Cowlitz,53015002001,102,18635,300.52,238.34,387.51
Cowlitz,53015002002,189,32308,423.67,361.51,497
Cowlitz,53015002100,125,22101,383.79,309.56,479.19
Douglas,53017950100,79,35667,217.51,168.87,278.51
Douglas,53017950200,45,11779,255.15,180.88,378.36
Douglas,53017950300,205,34282,426.84,368.47,494.28
Douglas,53017950400,255,35226,558.08,489.06,636.22
Douglas,53017950500,126,16908,643.76,531.6,777.13
Douglas,53017950600,167,22858,531.58,448.97,628.97
Douglas,53017950700,96,22365,423.24,341.82,520.95
Douglas,53017950800,169,27985,500.02,425.92,585.2
Ferry,53019940000,26,8742,206.29,131.24,328.91
Ferry,53019970100,50,13836,234.94,158.96,354.45
Ferry,53019970200,69,16182,230.69,173.8,320.54
Franklin,53021020100,103,54704,372.03,295.93,468.12
Franklin,53021020200,66,30246,328.03,248.49,429.56
Franklin,53021020300,74,28968,312.8,245.24,393.79
Franklin,53021020400,104,47353,316.23,257.26,385.91
Franklin,53021020501,136,25418,401.74,332.63,484.27
Franklin,53021020502,211,47936,391.34,338.75,450.95
Franklin,53021020601,188,56654,405.15,346.09,473.4
Franklin,53021020603,45,19988,520.69,351.04,786.27
Franklin,53021020605,153,46415,377.71,314.77,452.36
Franklin,53021020606,101,40130,358.4,286.38,447.82
Franklin,53021020700,20,7563,229.63,136.18,479.87
Franklin,53021020800,53,47995,147.08,108.59,196.72
Franklin,53021980100,NULL,0,NULL,NULL,NULL
Garfield,53023970300,49,11090,231.62,164.67,355.41
Grant,53025010100,64,19440,206.58,152.2,283.09
Grant,53025010200,88,15876,425.05,333.88,541.07
Grant,53025010300,76,21240,231.37,178.3,304.12
Grant,53025010400,203,42282,404.12,348.63,467.68
Grant,53025010500,78,15281,410.1,321.6,520.89
Grant,53025010600,91,37774,303.37,242.88,376.31
Grant,53025010700,78,16478,425.45,331.04,542.52
Grant,53025010800,65,23513,354.93,272.01,459.27
Grant,53025010901,35,7136,439.29,296.82,657.05
Grant,53025010902,206,51958,395.66,342.22,455.92
Grant,53025011000,305,62452,449.27,399.33,504.45
Grant,53025011100,179,38551,393.29,335.65,460.26
Grant,53025011200,147,28395,436.43,366.1,520.38
Grant,53025011300,46,20075,233.59,169.42,320.93
Grant,53025011401,50,9965,545.67,384.53,771.1
Grant,53025011402,90,69844,268.57,210.51,339.72
Grays Harbor,53027000200,463,41602,488.9,438.21,549.69
Grays Harbor,53027000300,128,16453,508.75,419.21,619.49
Grays Harbor,53027000400,257,34165,496.18,434.45,568.15
Grays Harbor,53027000500,232,34418,536.54,468.04,614.27
Grays Harbor,53027000600,140,18724,538.64,449.54,644.2
Grays Harbor,53027000700,163,22421,518.03,437.05,613.16
Grays Harbor,53027000800,177,19754,553.55,467.35,656.91
Grays Harbor,53027000900,177,31134,445.87,380.77,521.19
Grays Harbor,53027001000,109,17848,642.64,523.12,784.88
Grays Harbor,53027001100,156,21359,452.37,379.25,541.2
Grays Harbor,53027001200,118,22083,523.65,430.42,634.51
Grays Harbor,53027001300,111,17220,478.22,390.06,584.92
Grays Harbor,53027001400,80,10226,593.06,464.84,755.37
Grays Harbor,53027001500,149,19572,596.53,500.64,709.35
Grays Harbor,53027001600,274,33442,542.8,477,622.71
Grays Harbor,53027940000,22,6250,567.6,195.49,1575.85
Grays Harbor,53027990000,0,0,0,0,0
Island,53029970100,109,13669,558.06,449.16,696.14
Island,53029970200,NULL,10311,NULL,NULL,NULL
Island,53029970300,218,25433,532.14,458.21,620.05
Island,53029970400,149,31229,482.43,406.82,569.72
Island,53029970500,248,28497,591.04,513.23,680.49
Island,53029970601,102,16346,534.84,430.64,662.91
Island,53029970602,115,17229,486.39,390.85,608.7
Island,53029970700,72,10012,587.69,445.33,791.21
Island,53029970800,79,13819,464.17,364.14,592.32
Island,53029970900,27,24027,637.18,351.69,1097.97
Island,53029971000,261,25295,518.98,450.67,601.85
Island,53029971100,198,17477,557.94,467.92,675.45
Island,53029971300,276,23904,523.42,441.38,628.99
Island,53029971400,269,23668,574.72,495.06,674.18
Island,53029971500,219,18332,580.6,488.42,699.55
Island,53029971600,184,20187,516.78,439.56,611.1
Island,53029971700,242,21741,595.39,509.07,706.23
Island,53029971800,175,13512,496.25,414.03,627.86
Island,53029971900,245,20446,615.34,522.46,733.63
Island,53029972000,215,21219,505.95,428.24,606.91
Island,53029972100,139,18627,381.19,309.98,477.89
Island,53029992201,0,0,0,0,0
Jefferson,53031950202,112,9559,610.57,487.51,786.37
Jefferson,53031950300,452,32472,533.27,472.69,609.99
Jefferson,53031950400,205,20432,555.26,472.59,654.68
Jefferson,53031950500,424,34505,530.82,472.19,602.85
Jefferson,53031950601,421,32850,587.51,521.07,666.19
Jefferson,53031950602,191,15826,625.61,530.84,745.81
Jefferson,53031950702,96,11176,437.64,348.33,578.91
Jefferson,53031990000,0,0,0,0,0
King,53033000100,201,39104,560.28,482.4,649.8
King,53033000200,250,41432,496.53,435.69,566.55
King,53033000300,81,14000,599.47,461.01,780.63
King,53033000401,249,31646,563.1,490.09,650.76
King,53033000402,194,25771,520.57,438.28,621.38
King,53033000500,139,16583,533.77,440.62,657.04
King,53033000600,235,40375,525.83,458.83,602.68
King,53033000700,140,26132,627.86,524.27,751.73
King,53033000800,85,13397,507.26,402.06,639.77
King,53033000900,86,10794,521.21,408.8,665.34
King,53033001000,56,10189,567.48,421.76,753.77
King,53033001100,58,13249,393.76,295.85,524.59
King,53033001200,172,37444,452.2,382.52,535.01
King,53033001300,124,24595,595.03,490.14,723.72
King,53033001400,146,26219,532.73,446.91,633.2
King,53033001500,100,12914,572.03,458.68,725.33
King,53033001600,158,22207,522.7,441.38,621.39
King,53033001701,103,20637,638.91,510.57,797.2
King,53033001702,146,24907,577.57,485.16,687.5
King,53033001800,81,24912,551.09,422.92,716.29
King,53033001900,135,22020,660.41,550.05,792.01
King,53033002000,117,18141,619.09,507.95,756.51
King,53033002100,133,19947,605.39,504.45,726
King,53033002200,189,28665,455.84,389.15,536.43
King,53033002400,109,15453,657.24,536.14,805.15
King,53033002500,87,14500,578.36,457.07,729.2
King,53033002600,128,25284,690.88,559.51,852.04
King,53033002700,157,28119,591.94,498.16,703.85
King,53033002800,95,23626,505.04,394.95,648.97
King,53033002900,128,22285,688.21,562.97,837.65
King,53033003000,182,30319,737.82,621.67,874.08
King,53033003100,187,32394,530.38,453.27,622.61
King,53033003200,326,45055,631.93,562.23,713.27
King,53033003300,121,36152,409.48,333.06,503.72
King,53033003400,95,17629,648.67,510.44,825.71
King,53033003500,144,20630,658.78,546.13,796.58
King,53033003600,184,36441,601.15,510.96,712.53
King,53033003800,72,11578,598.61,461.67,771.79
King,53033003900,82,14515,471.73,369.56,602.71
King,53033004000,95,15152,543.11,435.45,675.59
King,53033004100,265,40392,580.15,510.61,658.24
King,53033004200,228,39785,539.3,468.8,620.08
King,53033004301,84,18812,555.82,435.38,704.32
King,53033004302,55,20191,512.7,368.9,947.76
King,53033004400,95,36113,495.33,391.35,624.33
King,53033004500,45,14145,655.61,446.47,944.82
King,53033004600,105,17148,688.43,544.62,877.62
King,53033004700,240,52281,485.79,422.26,568.83
King,53033004800,122,25010,611.25,494.99,755.34
King,53033004900,128,34014,480.87,389.55,601.02
King,53033005000,96,21234,574.19,438.09,750.46
King,53033005100,105,19331,676.67,533.11,857.34
King,53033005200,90,36866,534.05,420.94,686.22
King,53033005301,35,48692,212.5,141.71,448.09
King,53033005302,NULL,38009,NULL,NULL,NULL
King,53033005400,113,34114,607.58,471.73,787.55
King,53033005600,284,33842,610.11,534.31,700.78
King,53033005700,270,31885,659.23,580.1,751.94
King,53033005801,137,26263,529.5,442.09,636.69
King,53033005802,139,31507,450.82,376.09,546.09
King,53033005900,197,36118,737.14,630.39,861.23
King,53033006000,148,28978,535.8,448.38,644.27
King,53033006100,159,27120,614.17,514.7,747.65
King,53033006200,153,20470,626.35,524.22,747.92
King,53033006300,278,26471,636.18,557.23,730.14
King,53033006400,115,16963,716.09,581.53,877.99
King,53033006500,112,23219,583.82,471.06,722.74
King,53033006600,94,22760,576.34,436.81,815.97
King,53033006700,162,45832,480.75,398.16,594.78
King,53033006800,98,17027,561.55,450.87,706.28
King,53033006900,121,22191,554.31,449.73,682.04
King,53033007000,239,38441,559.8,487.68,661.52
King,53033007100,78,27995,369.43,276.85,754.67
King,53033007200,146,55489,455.23,361.6,601.47
King,53033007300,223,49604,507.16,438.5,645.01
King,53033007401,118,27352,641.37,511.36,1041.56
King,53033007402,89,28277,619.48,449.61,919.01
King,53033007500,162,48935,556.33,460.31,694.53
King,53033007600,86,20852,492.72,387.26,633.26
King,53033007700,120,25031,527.97,431.89,646.92
King,53033007800,206,27167,623.21,536.87,725.78
King,53033007900,146,31609,535.17,446.01,649.78
King,53033008001,182,35712,524.8,441.15,753.23
King,53033008002,152,20360,653.74,538.78,1029.3
King,53033008100,200,25667,609.84,518.42,853.48
King,53033008200,131,24369,400.21,317.86,646.36
King,53033008300,108,14764,694.51,434.49,1328.93
King,53033008400,119,32493,436.04,356.16,566.51
King,53033008500,139,23623,543.72,455.27,663.47
King,53033008600,68,33158,470.18,343.68,644.31
King,53033008700,80,21765,403.69,316.83,512.1
King,53033008800,108,18790,660.66,533.09,817.08
King,53033008900,135,27224,492.02,410.69,588.08
King,53033009000,121,17415,519.12,419.84,645.58
King,53033009100,78,14212,308.7,233.94,419.89
King,53033009200,174,16173,734.04,626.33,950.55
King,53033009300,83,16906,429.33,338.52,556.3
King,53033009400,137,32042,407.03,341.06,485.13
King,53033009500,194,32375,513.6,441.16,597.6
King,53033009600,232,28238,528.61,460.07,613.01
King,53033009701,227,28655,614.27,532.8,710.67
King,53033009702,187,27544,605.8,520.07,709.43
King,53033009800,186,34234,536.18,458.02,627.46
King,53033009900,142,29913,549.09,451.31,669.73
King,53033010001,87,21312,339.26,269.91,424.05
King,53033010002,112,23458,430.23,353.44,525.24
King,53033010100,208,39524,473.3,409.24,545.79
King,53033010200,172,25434,535.88,455.61,631.6
King,53033010300,164,35509,446.02,377.52,526.15
King,53033010401,102,23459,348.11,281.78,428.64
King,53033010402,133,25041,453.4,377.35,543.07
King,53033010500,253,44808,466.58,407.63,537.66
King,53033010600,268,39097,590.73,518.91,674.3
King,53033010701,65,19511,489.97,360.48,671.79
King,53033010702,102,20558,758.27,613.13,930.34
King,53033010800,103,24528,480.4,385.24,598.87
King,53033010900,39,7174,580.25,392.91,864.32
King,53033011001,106,24094,405.97,330.55,495.67
King,53033011002,106,23284,443.51,358.59,547.47
King,53033011101,129,30461,361.21,299.98,436.16
King,53033011102,149,24153,524.19,440.01,622
King,53033011200,80,20736,532.96,415.8,679.08
King,53033011300,151,31600,508.26,427.77,601.94
King,53033011401,76,21611,518.32,392.58,679.15
King,53033011402,130,22308,579.11,480.78,694.17
King,53033011500,123,22032,544.98,449.29,661.12
King,53033011600,269,34038,592.71,520.91,679.13
King,53033011700,160,29183,500.94,424.9,587.96
King,53033011800,191,40038,473.82,406.45,550.74
King,53033011900,207,37484,473.27,409.05,545.9
King,53033012000,110,17537,595.16,484.4,730.17
King,53033012100,119,14105,519.75,426.33,641.84
King,53033020100,167,16191,601.59,505.08,736.63
King,53033020200,239,28490,530.97,460.49,615.78
King,53033020300,228,36059,527.73,458.88,606.55
King,53033020401,109,17759,603.59,487.64,744.23
King,53033020402,172,27675,565.14,479.68,664.16
King,53033020500,200,33777,520.94,449.31,602.96
King,53033020600,101,18618,471.1,381.51,579.13
King,53033020700,114,18917,531.57,437,644.36
King,53033020800,185,22021,562.15,476.41,666.78
King,53033020900,138,16713,590.5,491.35,712.75
King,53033021000,174,28478,470.84,400.71,552.43
King,53033021100,145,21145,613.18,514.86,727.86
King,53033021300,124,19388,512.55,423.1,619.64
King,53033021400,127,18827,522.19,431.63,634.13
King,53033021500,184,22353,583.34,493.17,694.81
King,53033021600,186,25354,588.22,503.65,686.18
King,53033021700,236,42951,631.37,550.53,722.22
King,53033021802,138,29379,592.24,490.8,711.62
King,53033021803,152,25717,511.09,430.26,604.68
King,53033021804,149,28265,476.89,400.62,565.69
King,53033021903,196,29948,594.79,511.9,689.29
King,53033021904,134,27385,517.28,428.47,622.94
King,53033021905,154,26893,565.42,477.22,666.92
King,53033021906,98,21068,532.92,421.54,670.35
King,53033022001,185,25828,521.85,440.66,616.64
King,53033022003,124,26185,532.69,428.97,661.6
King,53033022005,118,24470,527.85,433.23,641.2
King,53033022006,91,19428,405.42,324.13,508.91
King,53033022101,207,24934,633.97,547.85,734.68
King,53033022102,179,32712,609.87,517.63,716.77
King,53033022201,138,22196,620.23,513.63,746.91
King,53033022202,219,37141,666,574.27,771.06
King,53033022203,152,26627,618.58,506.06,757.46
King,53033022300,130,14808,634.43,522.44,772.02
King,53033022400,287,40907,665.25,587.03,753.01
King,53033022500,283,38742,626.81,553.98,710.78
King,53033022603,139,29706,510.99,426.88,608.8
King,53033022604,131,22917,603.84,500.92,725.69
King,53033022605,106,28791,528.79,420.09,667.96
King,53033022606,190,28282,593.81,509.94,690.84
King,53033022701,132,15131,620.01,514.23,768.77
King,53033022702,123,20273,568.69,469.13,685.58
King,53033022703,82,12317,604.37,475.12,765.02
King,53033022801,177,43260,579.01,490.67,682.07
King,53033022802,119,24705,580.27,470.87,712.92
King,53033022803,81,29026,361.86,282.79,459.96
King,53033022901,90,14803,487.83,389.44,611.77
King,53033022902,194,33048,544.49,467.23,635.2
King,53033023000,157,29108,443.15,374.29,524.13
King,53033023100,143,20011,535.8,449.45,641.51
King,53033023201,158,35322,486.57,408.22,579.89
King,53033023202,114,22776,418.18,340.87,512.2
King,53033023300,191,32661,470.31,404.81,545.15
King,53033023401,97,19264,462.04,372.94,569.51
King,53033023403,163,20622,584.89,495.51,691.13
King,53033023404,114,17300,685.06,550.44,850.69
King,53033023500,133,19553,561.98,468.5,672.53
King,53033023601,152,20501,555.74,468.33,660.05
King,53033023603,126,32022,505.08,418.73,605.59
King,53033023604,169,32355,519.02,442.48,606.77
King,53033023700,142,21599,589.28,488.82,708.49
King,53033023801,69,15289,471.08,364.17,603.78
King,53033023803,159,29228,412.43,340.72,509.31
King,53033023804,193,27465,705.93,604.99,841.49
King,53033023900,260,36462,532.15,467.42,607.01
King,53033024000,281,40035,534.5,472.66,605.08
King,53033024100,187,22480,591.72,501.93,709.66
King,53033024200,99,15872,436.36,350.81,571.21
King,53033024300,345,40371,545.93,483.58,619.64
King,53033024400,114,15579,514.71,414.36,637.73
King,53033024500,205,23313,632.58,539.98,748.34
King,53033024601,175,22342,541.76,453.11,670.86
King,53033024602,125,18485,515.38,422.38,649.96
King,53033024701,100,18835,432.57,350.8,532.29
King,53033024702,252,38300,528.26,463.16,602.06
King,53033024800,149,30733,497.35,420,586.39
King,53033024901,178,25970,534.51,449,642.71
King,53033024902,140,19974,654.69,542.98,787.32
King,53033024903,225,35797,627.23,534.6,736.35
King,53033025001,161,25548,500.03,423.14,591.56
King,53033025003,203,35636,653.29,552.35,774.35
King,53033025005,123,26102,611.78,498.57,749.44
King,53033025006,195,31141,583.3,502.94,677.73
King,53033025101,139,30864,591.76,482.84,724.99
King,53033025102,180,42725,561.19,474.78,661.85
King,53033025200,223,42838,521.45,453.5,598.11
King,53033025301,185,33907,520.5,446.03,607.66
King,53033025302,172,25358,500.09,422.76,594.63
King,53033025400,145,38260,440.68,369.6,523.84
King,53033025500,114,25451,480.26,394.61,580.74
King,53033025601,177,26882,639.36,547.41,744.78
King,53033025602,177,31841,616.32,516.43,734.53
King,53033025701,156,30668,452.33,382.48,533.87
King,53033025702,115,18110,576.96,466.94,710.52
King,53033025803,100,24933,558.85,448.36,694.57
King,53033025804,100,19204,567.2,447.03,718.76
King,53033025805,101,25270,473.21,379.6,586.46
King,53033025806,137,26471,530.75,442.56,634.83
King,53033026001,172,28764,458.63,390.47,537.67
King,53033026002,189,41297,511.54,439.03,593.76
King,53033026100,187,37357,495.03,424.89,574.52
King,53033026200,158,25688,648.73,546.08,768.59
King,53033026300,52,8752,644.56,466.12,881.71
King,53033026400,143,30095,547.78,457.33,653.81
King,53033026500,100,20557,468.99,377.39,579.01
King,53033026600,57,12530,593.91,425.53,825.37
King,53033026700,162,28635,491.71,417.23,577.95
King,53033026801,113,29590,484.18,389.47,601.94
King,53033026802,126,29871,449.6,371.51,542.32
King,53033027000,106,17998,671.45,541.11,829.42
King,53033027100,102,18156,572.7,464.98,700.33
King,53033027200,60,13262,634.74,468.79,849.05
King,53033027300,111,32861,428.77,349.13,523.36
King,53033027400,169,28334,617.88,524.58,725.49
